JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458891.696,12.46,0.025,,TG,CCHC,,ENSEMBLE,127,X25147BKY,,0,,Z,,12.642,,AH HER,AAVSO,STD,,,,
2458892.025,12.969,0.045,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.104|VERR=0.027|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2196|CX=1.2190|KX=1.2193|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.211,Z,14.203,15.518,,AH HER,AAVSO,STD,113,,,
2458892.026,13.044,0.041,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.104|VERR=0.028|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2166|CX=1.2159|KX=1.2163|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.208,Z,14.172,15.558,,AH HER,AAVSO,STD,114,,,
2458892.026,13.074,0.04,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.122|VERR=0.028|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2135|CX=1.2129|KX=1.2132|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.205,Z,14.174,15.55,,AH HER,AAVSO,STD,115,,,
2458892.027,12.907,0.063,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.107|VERR=0.029|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2105|CX=1.2099|KX=1.2102|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.202,Z,14.165,15.474,,AH HER,AAVSO,STD,116,,,
2458892.028,12.889,0.051,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.400|VERR=0.041|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.2073|CX=1.2067|KX=1.2070|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.199,Z,14.212,15.209,,AH HER,AAVSO,STD,116,,,
2458892.028,12.827,0.094,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.401|VERR=0.048|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.2051|CX=1.2045|KX=1.2048|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.196,Z,14.229,15.207,,AH HER,AAVSO,STD,117,,,
2458892.029,12.865,0.077,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.422|VERR=0.046|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.2029|CX=1.2023|KX=1.2026|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.194,Z,14.22,15.202,,AH HER,AAVSO,STD,118,,,
2458892.029,12.879,0.073,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.417|VERR=0.040|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.2007|CX=1.2001|KX=1.2004|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.192,Z,14.201,15.182,,AH HER,AAVSO,STD,119,,,
2458892.03,12.883,0.074,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=14.416|VERR=0.044|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.1985|CX=1.1979|KX=1.1982|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.19,Z,14.196,15.235,,AH HER,AAVSO,STD,120,,,
2458892.031,12.516,0.051,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.382|VERR=0.045|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1961|CX=1.1955|KX=1.1958|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.187,Z,14.99,15.532,,AH HER,AAVSO,STD,116,,,
2458892.031,12.492,0.057,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.346|VERR=0.046|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1944|CX=1.1938|KX=1.1941|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.186,Z,14.988,15.565,,AH HER,AAVSO,STD,117,,,
2458892.031,12.493,0.051,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.349|VERR=0.042|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1927|CX=1.1922|KX=1.1925|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.184,Z,14.98,15.605,,AH HER,AAVSO,STD,118,,,
2458892.032,12.485,0.054,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.358|VERR=0.046|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1911|CX=1.1905|KX=1.1908|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.183,Z,14.991,15.564,,AH HER,AAVSO,STD,119,,,
2458892.032,12.474,0.054,,I,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.340|VERR=0.046|CREFMAG=12.053|CREFERR=0.029|KREFMAG=12.643|KREFERR=0.038|VX=1.1895|CX=1.1889|KX=1.1892|TI_VI=-0.2700|TI_VIERR=0.0550|TAVER=2.51,1,1.181,Z,14.98,15.573,,AH HER,AAVSO,STD,120,,,
2458894.019,14.692,0.159,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.140|VERR=0.078|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2237|CX=1.2231|KX=1.2234|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.215,Z,14.322,15.697,,AH HER,AAVSO,STD,117,,,
2458894.019,14.411,0.128,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.035|VERR=0.068|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2206|CX=1.2200|KX=1.2203|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.212,Z,14.341,15.709,,AH HER,AAVSO,STD,118,,,
2458894.02,14.415,0.128,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.039|VERR=0.071|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2175|CX=1.2169|KX=1.2172|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.209,Z,14.336,15.701,,AH HER,AAVSO,STD,119,,,
2458894.021,14.405,0.129,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.037|VERR=0.072|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2144|CX=1.2138|KX=1.2141|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.206,Z,14.337,15.729,,AH HER,AAVSO,STD,120,,,
2458894.021,13.579,0.111,,V,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=15.250|VERR=0.097|CREFMAG=12.688|CREFERR=0.008|KREFMAG=13.672|KREFERR=0.021|VX=1.2112|CX=1.2106|KX=1.2109|TV_BV=-0.0250|TV_BVERR=0.0600|TAVER=2.51,1,1.202,Z,14.336,15.294,,AH HER,AAVSO,STD,121,,,
