JD,Magnitude
2454123.4348007473,<16.2
2454125.6788007477,<16.2
2454134.475800751,<16.2
2454136.486800751,<16.2
2454138.4388007517,<16.2
2454144.6658007535,<16.2
2454161.4168007574,<16.2
2454168.648800758,<16.2
2454172.5498007587,<16.2
2454174.4538007593,<16.2
2454178.336100759,14.351
2454178.3365007592,14.455
2454178.336800759,14.516
2454178.337200759,14.464
2454178.337600759,14.468
2454178.338000759,14.516
2454178.3384007593,14.525
2454178.338800759,14.482
2454178.339100759,14.490
2454178.3395007593,14.435
2454178.339900759,14.540
2454178.340300759,14.462
2454178.340700759,14.481
2454178.341000759,14.467
2454178.3414007593,14.473
2454178.341800759,14.466
2454178.342200759,14.524
2454178.342600759,14.476
2454178.343000759,14.555
2454178.343300759,14.529
2454178.343700759,14.607
2454178.344100759,14.542
2454178.344500759,14.490
2454178.344900759,14.472
2454178.345200759,14.500
2454178.345600759,14.441
2454178.346000759,14.470
2454178.346800759,14.462
2454178.347200759,14.447
2454178.347500759,14.484
2454178.347900759,14.477
2454178.3521007593,14.512
2454178.354000759,14.381
2454178.355200759,14.414
2454178.356300759,14.350
2454178.357100759,14.378
2454178.357500759,14.308
2454178.358600759,14.282
2454178.359000759,14.273
2454178.359400759,14.277
2454178.3598007592,14.226
2454178.360200759,14.253
2454178.3606007593,14.234
2454178.360900759,14.282
2454178.361300759,14.230
2454178.3617007593,14.216
2454178.362100759,14.230
2454178.362500759,14.217
2454178.362900759,14.188
2454178.363300759,14.177
2454178.363600759,14.121
2454178.364000759,14.176
2454178.364400759,14.163
2454178.364800759,14.139
2454178.365200759,14.080
2454178.365500759,14.093
2454178.365900759,14.085
2454178.366400759,14.117
2454178.366800759,14.073
2454178.367100759,14.051
2454178.367500759,14.072
2454178.367900759,14.098
2454178.3683007592,14.099
2454178.368700759,14.086
2454178.3691007593,14.113
2454178.369400759,14.068
2454178.369800759,14.032
2454178.3702007593,14.062
2454178.370600759,14.050
2454178.371400759,13.987
2454178.371700759,14.041
2454178.3721007593,14.046
2454178.372500759,13.971
2454178.372900759,13.964
2454178.373300759,14.040
2454178.373600759,14.026
2454178.374000759,14.053
2454178.374400759,14.072
2454178.374800759,14.067
2454178.375600759,14.045
2454178.5140007595,14.628
2454178.5141007598,14.539
2454178.5143007594,14.578
2454178.5144007597,14.605
2454178.5146007594,14.475
2454178.5149007593,14.518
2454178.5150007596,14.631
