JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457650.38823,14.962,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.434,Z,-7.059,-6.383,,PX AND,AAVSO,STD,,,,
2457650.38886,14.986,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.429,Z,-7.051,-6.377,,PX AND,AAVSO,STD,,,,
2457650.38950,15.050,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.425,Z,-7.046,-6.377,,PX AND,AAVSO,STD,,,,
2457650.39014,15.051,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.420,Z,-7.065,-6.403,,PX AND,AAVSO,STD,,,,
2457650.39077,15.064,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.416,Z,-7.057,-6.390,,PX AND,AAVSO,STD,,,,
2457650.39140,15.028,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.412,Z,-7.044,-6.368,,PX AND,AAVSO,STD,,,,
2457650.39204,15.039,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.408,Z,-7.043,-6.375,,PX AND,AAVSO,STD,,,,
2457650.39267,14.938,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.404,Z,-7.048,-6.398,,PX AND,AAVSO,STD,,,,
2457650.39331,14.995,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.399,Z,-7.067,-6.385,,PX AND,AAVSO,STD,,,,
2457650.39394,15.074,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.395,Z,-7.064,-6.403,,PX AND,AAVSO,STD,,,,
2457650.39458,14.934,0.038,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.391,Z,-7.068,-6.364,,PX AND,AAVSO,STD,,,,
2457650.39521,14.936,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.387,Z,-7.040,-6.415,,PX AND,AAVSO,STD,,,,
2457650.39584,14.946,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.383,Z,-7.046,-6.386,,PX AND,AAVSO,STD,,,,
2457650.39648,14.990,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.379,Z,-7.062,-6.404,,PX AND,AAVSO,STD,,,,
2457650.39711,14.962,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.375,Z,-7.064,-6.394,,PX AND,AAVSO,STD,,,,
2457650.39775,15.058,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.371,Z,-7.074,-6.424,,PX AND,AAVSO,STD,,,,
2457650.39838,15.011,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.367,Z,-7.075,-6.374,,PX AND,AAVSO,STD,,,,
2457650.39907,14.928,0.038,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.363,Z,-7.045,-6.388,,PX AND,AAVSO,STD,,,,
2457650.39970,15.029,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.360,Z,-7.051,-6.422,,PX AND,AAVSO,STD,,,,
2457650.40034,15.011,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.356,Z,-7.064,-6.407,,PX AND,AAVSO,STD,,,,
2457650.40097,14.972,0.038,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.352,Z,-7.079,-6.388,,PX AND,AAVSO,STD,,,,
2457650.40161,15.023,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.348,Z,-7.066,-6.408,,PX AND,AAVSO,STD,,,,
2457650.40225,14.963,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.345,Z,-7.039,-6.398,,PX AND,AAVSO,STD,,,,
2457650.40288,15.006,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.341,Z,-7.070,-6.397,,PX AND,AAVSO,STD,,,,
2457650.40352,14.999,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.337,Z,-7.074,-6.404,,PX AND,AAVSO,STD,,,,
2457650.40415,14.949,0.038,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.334,Z,-7.072,-6.404,,PX AND,AAVSO,STD,,,,
2457650.40479,14.919,0.037,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.330,Z,-7.064,-6.439,,PX AND,AAVSO,STD,,,,
2457650.40542,14.960,0.038,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.327,Z,-7.074,-6.441,,PX AND,AAVSO,STD,,,,
