,time
65654,2548.0506002061993
65655,2548.0519891284644
65656,2548.053378050728
65657,2548.0547669729926
65658,2548.0561558947916
65659,2548.057544817056
65660,2548.05893373932
65661,2548.060322661585
65662,2548.06171158385
65663,2548.0631005061136
65664,2548.0644894283773
65665,2548.0658783506424
65666,2548.067267272908
65667,2548.0686561951725
65668,2548.070045116971
65669,2548.0714340392356
65670,2548.0728229615
65671,2548.0742118837647
65672,2548.0756008060293
65673,2548.076989728294
65674,2548.078378650092
65675,2548.0797675723566
65676,2548.081156494621
65677,2548.0825454168858
65678,2548.083934338684
65679,2548.085323260949
65680,2548.086712183214
65681,2548.0881011054776
65682,2548.089490027276
65683,2548.0908789495406
65684,2548.0922678718057
65685,2548.0936567936037
65686,2548.095045715868
65687,2548.096434638133
65688,2548.0978235599327
65689,2548.0992124821973
65690,2548.1006014039963
65691,2548.101990326261
65692,2548.1033792485246
65693,2548.1047681703235
65694,2548.106157092588
65695,2548.107546014387
65696,2548.108934936651
65697,2548.1103238584496
65698,2548.1117127807142
65699,2548.113101702979
65700,2548.1144906247778
65701,2548.1158795470424
65702,2548.1172684688413
65703,2548.1186573906393
65704,2548.120046312904
65705,2548.121435234703
65706,2548.1228241569675
65707,2548.1242130787664
65708,2548.125602001032
65709,2548.126990922831
65710,2548.128379845095
65711,2548.1297687668934
65712,2548.1311576886924
65713,2548.132546610957
65714,2548.133935532756
65715,2548.135324454554
65716,2548.1367133768185
65717,2548.1381022986175
65718,2548.1394912204164
65719,2548.140880142681
65720,2548.14226906448
65721,2548.143657986278
65722,2548.145046908077
65723,2548.1464358303415
65724,2548.1478247521404
65725,2548.149213673939
65726,2548.1506025957374
65727,2548.151991518002
65728,2548.153380439802
65729,2548.1547693616008
65730,2548.1561582833997
65731,2548.1575472051986
65732,2548.158936127463
65733,2548.1603250492612
65734,2548.16171397106
65735,2548.163102892859
65736,2548.164491814658
65737,2548.165880736456
65738,2548.1672696582555
65739,2548.16865858052
65740,2548.1700475023185
65741,2548.1714364241175
65742,2548.1728253459164
65743,2548.1742142677153
65744,2548.1756031895134
65745,2548.1769921113123
65746,2548.1783810331112
65747,2548.17976995491
65748,2548.181158876709
65749,2548.1825477985085
65750,2548.183936720308
65751,2548.185325642106
65752,2548.1867145639053
65753,2548.1881034857042
65754,2548.1894924075027
65755,2548.1908813293007
65756,2548.1922702506345
65757,2548.193659172434
65758,2548.195048094232
65759,2548.196437016031
65760,2548.1978259378297
65761,2548.1992148596287
65762,2548.2006037814267
65763,2548.20199270276
65764,2548.203381624559
65765,2548.204770546358
65766,2548.206159468156
65767,2548.207548389955
65768,2548.208937311288
65769,2548.210326233087
65770,2548.211715154887
65771,2548.2131040766867
65772,2548.214492998019
65773,2548.215881919817
65774,2548.2172708416165
65775,2548.218659763416
65776,2548.2200486847482
65777,2548.221437606547
65778,2548.222826528346
65779,2548.2242154496794
65780,2548.2256043714774
65781,2548.226993293277
65782,2548.22838221461
65783,2548.2297711364085
65784,2548.231160057741
65785,2548.2325489795403
65786,2548.2339379013397
65787,2548.235326822672
65788,2548.236715744471
65789,2548.2381046658043
65790,2548.2394935876036
65791,2548.240882508937
65792,2548.242271430736
65793,2548.2436603520696
65794,2548.2450492738676
65795,2548.246438195201
65796,2548.247827117
65797,2548.249216038333
65798,2548.250604960131
65799,2548.251993881465
65800,2548.2533828032642
65801,2548.2547717245966
65802,2548.2561606463946
65803,2548.2575495677283
65804,2548.258938489062
65805,2548.26032741086
65806,2548.2617163321934
65807,2548.2631052535266
65808,2548.2644941753256
65809,2548.265883096658
65810,2548.267272018457
65811,2548.268660939791
65812,2548.2700498611243
65813,2548.2714387824576
65814,2548.2728277042565
65815,2548.27421662559
65816,2548.275605546922
65817,2548.276994468256
65818,2548.2783833900553
65819,2548.2797723113877
65820,2548.2811612327205
65821,2548.2825501540538
65822,2548.283939075853
65823,2548.2853279971855
65824,2548.286716918519
65825,2548.288105839852
65826,2548.2894947611853
65827,2548.2908836825177
65828,2548.292272604317
65829,2548.2936615256504
65830,2548.295050446983
65831,2548.2964393683155
65832,2548.2978282896497
65833,2548.299217210984
65834,2548.3006061323167
65835,2548.30199505365
65836,2548.3033839749837
65837,2548.304772896316
65838,2548.3061618176494
65839,2548.3075507389826
65840,2548.308939660316
65841,2548.3103285816483
65842,2548.3117175029815
65843,2548.313106424315
65844,2548.314495345648
65845,2548.3158842669804
65846,2548.317273188314
65847,2548.318662109648
65848,2548.3200510309803
65849,2548.321439952313
65850,2548.3228288736464
65851,2548.32421779498
65852,2548.3256067158477
65853,2548.326995637181
65854,2548.3283845585142
65855,2548.3297734798475
65856,2548.331162401181
65857,2548.332551322514
65858,2548.3339402433817
65859,2548.335329164714
65860,2548.3367180860473
65861,2548.3381070073806
65862,2548.339495928714
65863,2548.340884849581
65864,2548.3422737709143
65865,2548.343662692248
65866,2548.3450516135804
65867,2548.346440534448
65868,2548.3478294557813
65869,2548.3492183771145
65870,2548.3506072979812
65871,2548.3519962193145
65872,2548.353385140648
65873,2548.354774061516
65874,2548.3561629828496
65875,2548.357551904183
65876,2548.3589408250505
65877,2548.3603297463833
65878,2548.3617186672504
65879,2548.3631075885837
65880,2548.3644965094513
65881,2548.3658854307846
65882,2548.367274352117
65883,2548.3686632729846
65884,2548.370052194318
65885,2548.3714411151855
65886,2548.3728300365187
65887,2548.3742189573863
65888,2548.3756078787187
65889,2548.3769967995863
65890,2548.3783857209196
65891,2548.379774641787
65892,2548.381163562654
65893,2548.3825524839876
65894,2548.383941404856
65895,2548.38533032619
65896,2548.3867192470566
65897,2548.388108167924
65898,2548.3894970892575
65899,2548.390886010125
65900,2548.3922749314575
65901,2548.393663852325
65902,2548.3950527731927
65903,2548.396441694526
65904,2548.3978306153936
65905,2548.399219536261
65906,2548.4006084571283
65907,2548.401997378461
65908,2548.4033862993288
65909,2548.4047752201964
65910,2548.406164141064
65911,2548.4075530623963
65912,2548.408941983264
65913,2548.4103309041316
65914,2548.4117198249996
65915,2548.4131087458677
65916,2548.414497667201
65917,2548.4158865880686
65918,2548.4172755089353
65919,2548.4186644298034
65920,2548.420053350671
65921,2548.421442271538
65922,2548.4228311924057
65923,2548.424220113739
65924,2548.4256090346066
65925,2548.4269979554733
65926,2548.428386876341
65927,2548.4297757972085
65928,2548.431164718076
65929,2548.432553638943
65930,2548.4339425598105
65931,2548.435331480678
65932,2548.4367204015457
65933,2548.4381093224133
65934,2548.439498243281
65935,2548.4408871641485
65936,2548.442276085016
65937,2548.443665005884
65938,2548.4450539267523
65939,2548.446442847619
65940,2548.4478317684866
65941,2548.4492206888885
65942,2548.450609609756
65943,2548.451998530623
65944,2548.4533874514905
