JD,Magnitude
2451869.4524007277,15.55
2451869.4532007277,15.55
2451869.454100728,15.6
2451869.454900728,15.53
2451869.455800728,15.5
2451869.456600728,15.46
2451869.457500728,15.47
2451869.458300728,15.51
2451869.4592007278,15.46
2451869.460100728,15.4
2451869.461000728,15.4
2451869.461900728,15.34
2451869.462700728,15.4
2451869.4636007277,15.36
2451869.464400728,15.45
2451869.4653007276,15.43
2451869.466200728,15.45
2451869.467000728,15.44
2451869.467900728,15.36
2451869.4688007277,15.49
2451869.469600728,15.43
2451869.4705007276,15.39
2451869.471400728,15.31
2451869.472200728,15.26
2451869.473000728,15.27
2451869.473900728,15.21
2451869.474800728,15.31
2451869.475600728,15.28
2451869.4765007277,15.26
2451869.4773007277,15.32
2451869.478100728,15.32
2451869.4790007276,15.32
2451869.479900728,15.29
2451869.480700728,15.19
2451869.481600728,15.22
2451869.482400728,15.14
2451869.483300728,15.16
2451869.484100728,15.07
2451869.484900728,15.19
2451869.4858007277,15.23
2451869.486600728,15.2
2451869.4875007276,15.25
2451869.4883007277,15.32
2451869.489200728,15.44
2451869.490000728,15.4
2451869.490900728,15.32
2451869.491800728,15.34
2451869.492600728,15.37
2451869.4935007277,15.27
2451869.4943007277,15.35
2451869.495200728,15.37
2451869.4960007276,15.35
2451869.496900728,15.39
2451869.497800728,15.36
2451869.498600728,15.29
2451869.4995007277,15.3
2451869.500300728,15.33
2451869.5012007277,15.29
2451869.502100728,15.3
2451869.503000728,15.3
2451869.504000728,15.28
2451869.504900728,15.21
2451871.340800728,15.57
2451871.3418007283,15.6
2451871.3426007284,15.58
2451871.3435007283,15.64
2451871.344400728,15.61
2451871.345200728,15.61
2451871.3461007285,15.53
2451871.3469007285,15.53
2451871.347700728,15.53
2451871.3486007284,15.47
2451871.3494007285,15.45
2451871.3503007283,15.47
2451871.351200728,15.48
2451871.3520007282,15.46
2451871.352900728,15.48
2451871.353700728,15.48
2451871.3546007285,15.41
2451871.3554007285,15.51
2451871.3563007284,15.46
2451871.3571007284,15.46
2451871.3580007283,15.48
2451871.3588007283,15.48
2451871.359700728,15.5
2451871.3605007282,15.53
2451871.361400728,15.51
2451871.362200728,15.4
2451871.3631007285,15.47
2451871.3639007285,15.46
2451871.3647007286,15.51
2451871.3656007284,15.51
2451871.3665007283,15.59
2451871.3673007283,15.56
2451871.3681007284,15.54
2451871.3690007282,15.45
2451871.3698007283,15.44
2451871.370700728,15.43
2451871.3716007285,15.44
2451871.3724007285,15.43
2451871.3732007286,15.31
2451871.3741007284,15.35
2451871.3749007285,15.35
2451871.3758007283,15.27
2451871.3766007284,15.35
