JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2452524.8868,<14.8,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452647.9125,<14.7,,,Vis.,SXN,,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452648.8681,<14.7,,,Vis.,SXN,,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452654.9243,<14.3,,,Vis.,SXN,,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452656.9361,<14.3,,,Vis.,SXN,,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452666.8778,<14.7,,,Vis.,SXN,,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452678.8958,<14.7,,,Vis.,SXN,K,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452682.1597,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452704.0924,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452705.7639,<14.7,,,Vis.,SXN,K,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452709.1938,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452710.2257,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452714.2243,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452726.1736,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452729.109,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452730.1479,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452732.0736,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452735.1875,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452736.2313,<14.9,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452739.166,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452740.7806,<14.7,,,Vis.,SXN,K,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452743.234,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452752.7292,<14.7,,,Vis.,SXN,K,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452754.0958,<14.8,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452755.0993,<14.9,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452757.0222,<14.9,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452757.7028,<14.7,,,Vis.,SXN,K,147,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452758.0701,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452758.9528,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452762.1035,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452762.7764,<14.8,,,Vis.,SXN,K,148,143,HENDEN,,,,V,,,,OU VIR,,STD,,,,
2452763.6451,15.0,,,Vis.,SXN,KY,148,143,HENDEN,OUTBURST?,,,V,,,,OU VIR,,STD,,,,
2452764.0319,15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452764.1417,15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452764.9444,15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2452765.0889,15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452765.415,14.6,,,Vis.,DPV,,14.3,14.7,020804,,,,Z,,,,OU VIR,,STD,,,,
2452765.7799,14.5,,,Vis.,TDB,K,147,143,HC02,,,,V,,,,OU VIR,,STD,,,,
2452765.9479,14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2452766.473,14.7,,,Vis.,DPV,,14.7,,020804,,,,Z,,,,OU VIR,,STD,,,,
2452768.4199,15.045,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4206,14.974,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4212,14.976,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4219,15.022,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4226,15.120,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4233,15.055,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4240,15.001,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4247,15.031,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4254,15.106,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4261,15.112,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4267,15.128,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4281,15.239,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4288,15.258,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4295,15.319,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
2452768.4302,15.329,0.15,,CR,MLF,,000-BBV-540,000-BBV-542,,UGSU+E,0,,Z,12.1,13.85,,OU VIR,,STD,,,,
