E,C,O,O-C
-4444,1700.7126223849982,1700.7104682594797,-0.002154125518472938
-4443,1700.9225595906355,1700.9205244195236,-0.002035171111856471
-4442,1701.1324967962728,1701.130711832874,-0.001784963398677064
-4441,1701.34243400191,1701.3407915417588,-0.0016424601512881054
-4440,1701.5523712075474,1701.5506015265094,-0.0017696810380130046
-4439,1701.7623084131847,1701.7606466071838,-0.0016618060008113389
-4438,1701.9722456188222,1701.9706970107143,-0.0015486081078961433
-4437,1702.1821828244595,1702.181053138476,-0.0011296859834146744
-4436,1702.392120030097,1702.3905391376907,-0.001580892406309431
-4435,1702.6020572357343,1702.6005320185977,-0.0015252171365318645
-4434,1702.8119944413716,1702.810026056982,-0.001968384389556377
-4433,1703.0219316470088,1703.0200726792334,-0.0018589677754334843
-4432,1703.2318688526461,1703.2300601024456,-0.0018087502005528222
-4431,1703.4418060582834,1703.4400678585698,-0.0017381997135998972
-4430,1703.6517432639207,1703.6498767236062,-0.0018665403144950687
-4429,1703.8616804695582,1703.8598286999877,-0.0018517695705213555
-4428,1704.0716176751955,1704.0699493659583,-0.0016683092371749808
-4427,1704.2815548808328,1704.2800945533081,-0.0014603275246827252
-4426,1704.4914920864703,1704.490645153024,-0.0008469334463825362
-4425,1704.7014292921076,1704.7008978293982,-0.0005314627094321622
-4424,1704.911366497745,1704.9104006690154,-0.0009658287294769252
-4423,1705.1213037033822,1705.120899046963,-0.0004046564192776714
-4422,1705.3312409090195,1705.3304711638082,-0.0007697452113006875
-4421,1705.5411781146568,1705.5410668966733,-0.00011121798343083356
-4420,1705.751115320294,1705.7512986049665,0.00018328467240280588
-4419,1705.9610525259316,1705.9611101139699,5.758803831668047e-05
-4418,1706.1709897315689,1706.17067574195,-0.0003139896189168212
-4417,1706.3809269372064,1706.3807196828857,-0.00020725432068502414
-4416,1706.5908641428437,1706.590246173758,-0.0006179690856242814
-4415,1706.800801348481,1706.7999447586722,-0.0008565898087908863
-4414,1707.0107385541182,1707.0093389613255,-0.0013995927927226148
-4413,1707.2206757597555,1707.2193074241638,-0.0013683355916782602
-4412,1707.4306129653928,1707.4289677378645,-0.0016452275283427298
-4411,1707.64055017103,1707.6388525802827,-0.0016975907474261476
