E,C,O,O-C
-2355,1708.401202999507,,
-2354,1708.7587005210335,,
-2353,1709.1161980425604,,
-2352,1709.473695564087,,
-2351,1709.831193085614,,
-2350,1710.1886906071406,,
-2349,1710.5461881286674,,
-2348,1710.9036856501943,,
-2347,1711.2611831717209,,
-2346,1711.6186806932478,,
-2345,1711.9761782147743,,
-2344,1712.3336757363013,,
-2343,1712.691173257828,,
-2342,1713.0486707793548,,
-2341,1713.4061683008815,,
-2340,1713.7636658224083,,
-2339,1714.1211633439352,,
-2338,1714.4786608654617,,
-2337,1714.8361583869887,,
-2336,1715.1936559085154,,
-2335,1715.5511534300422,,
-2334,1715.908650951569,,
-2333,1716.2661484730957,,
-2332,1716.6236459946226,,
-2331,1716.9811435161491,,
-2330,1717.338641037676,,
-2329,1717.6961385592028,,
-2328,1718.0536360807296,,
-2327,1718.4111336022563,,
-2326,1718.768631123783,,
-2325,1719.12612864531,,
-2324,1719.4836261668365,,
-2323,1719.8411236883635,,
-2322,1720.1986212098902,,
-2321,1720.556118731417,,
-2320,1720.9136162529437,,
-2319,1721.2711137744705,,
-2318,1721.6286112959974,,
-2317,1721.986108817524,,
-2316,1722.343606339051,,
-2315,1722.7011038605776,,
-2314,1723.0586013821044,,
-2313,1723.416098903631,,
-2312,1723.7735964251578,,
-2311,1724.1310939466848,,
-2310,1724.4885914682113,,
-2309,1724.8460889897383,,
-2308,1725.2035865112648,,
-2307,1725.5610840327918,,
-2306,1725.9185815543185,,
-2305,1726.2760790758452,,
-2304,1726.633576597372,,
-2303,1726.9910741188987,,
-2302,1727.3485716404257,,
-2301,1727.7060691619522,,
-2300,1728.0635666834792,,
-2299,1728.421064205006,,
-2298,1728.7785617265326,,
-2297,1729.1360592480594,,
-2296,1729.4935567695861,,
-2295,1729.851054291113,,
-2294,1730.2085518126396,,
-2293,1730.5660493341666,,
-2292,1730.9235468556933,,
-2291,1731.28104437722,,
-2290,1731.6385418987468,,
-2289,1731.9960394202735,,
-2288,1732.3535369418005,,
-2287,1732.711034463327,,
-2286,1733.068531984854,,
-2285,1733.4260295063807,,
-2284,1733.7835270279074,,
-2283,1734.1410245494342,,
-2282,1734.498522070961,,
-2281,1734.8560195924879,,
-2280,1735.2135171140144,,
-2279,1735.5710146355414,,
-2278,1735.928512157068,,
-2277,1736.2860096785948,,
-2276,1736.6435072001216,,
-2275,1737.0010047216483,,
-2274,1737.3585022431753,,
-2273,1737.7159997647018,,
-2272,1738.0734972862288,,
-2271,1738.4309948077553,,
-2270,1738.7884923292822,,
-2269,1739.145989850809,,
-2268,1739.5034873723357,,
-2267,1739.8609848938627,,
-2266,1740.2184824153892,,
-2265,1740.5759799369162,,
-2264,1740.9334774584427,,
-2263,1741.2909749799696,,
-2262,1741.6484725014964,,
-2261,1742.005970023023,,
-2260,1742.3634675445498,,
-2259,1742.7209650660766,,
-2258,1743.0784625876036,,
-2257,1743.43596010913,,
-2256,1743.793457630657,,
-2255,1744.1509551521838,,
-2254,1744.5084526737105,,
-2253,1744.8659501952372,,
-2252,1745.223447716764,,
-2251,1745.580945238291,,
-2250,1745.9384427598175,,
-2249,1746.2959402813444,,
-2248,1746.6534378028712,,
-2247,1747.010935324398,,
-2246,1747.3684328459246,,
-2245,1747.7259303674514,,
-2244,1748.0834278889783,,
-2243,1748.4409254105049,,
-2242,1748.7984229320318,,
-2241,1749.1559204535586,,
-2240,1749.5134179750853,,
-2239,1749.870915496612,,
-2238,1750.2284130181388,,
-2237,1750.5859105396657,,
-2236,1750.9434080611923,,
-2235,1751.3009055827192,,
-2234,1751.658403104246,,
-2233,1752.0159006257727,,
-2232,1752.3733981472994,,
-2231,1752.7308956688262,,
-2230,1753.0883931903531,,
-2229,1753.4458907118797,,
-2228,1753.8033882334066,,
-2227,1754.1608857549331,,
-2226,1754.51838327646,,
-2225,1754.8758807979868,,
-2224,1755.2333783195136,,
-2223,1755.5908758410403,,
-2222,1755.948373362567,,
-2221,1756.305870884094,,
-2220,1756.6633684056205,,
-2219,1757.0208659271475,,
-2218,1757.3783634486742,,
-2217,1757.735860970201,,
-2216,1758.0933584917277,,
-2215,1758.4508560132545,,
-2214,1758.8083535347814,,
-2213,1759.165851056308,,
-2212,1759.523348577835,,
-2211,1759.8808460993616,,
-2210,1760.2383436208884,,
-2209,1760.595841142415,,
-2208,1760.9533386639418,,
-2207,1761.3108361854688,,
-2206,1761.6683337069953,,
-2205,1762.0258312285223,,
-2204,1762.383328750049,,
-2203,1762.7408262715758,,
-2202,1763.0983237931025,,
-2201,1763.4558213146292,,
-2200,1763.8133188361562,,
-2199,1764.1708163576827,,
-2198,1764.5283138792097,,
-2197,1764.8858114007364,,
-2196,1765.2433089222632,,
-2195,1765.60080644379,,
-2194,1765.9583039653166,,
-2193,1766.3158014868436,,
-2192,1766.6732990083701,,
-2191,1767.030796529897,,
-2190,1767.3882940514236,,
-2189,1767.7457915729506,,
-2188,1768.1032890944773,,
-2187,1768.460786616004,,
-2186,1768.818284137531,,
-2185,1769.1757816590575,,
-2184,1769.5332791805845,,
-2183,1769.890776702111,,
-2182,1770.248274223638,,
-2181,1770.6057717451647,,
-2180,1770.9632692666914,,
-2179,1771.3207667882182,,
-2178,1771.678264309745,,
-2177,1772.0357618312719,,
-2176,1772.3932593527984,,
-2175,1772.7507568743254,,
-2174,1773.108254395852,,
-2173,1773.4657519173788,,
-2172,1773.8232494389056,,
-2171,1774.1807469604323,,
-2170,1774.5382444819593,,
-2169,1774.8957420034858,,
-2168,1775.2532395250128,,
-2167,1775.6107370465395,,
-2166,1775.9682345680662,,
-2165,1776.325732089593,,
-2164,1776.6832296111197,,
-2163,1777.0407271326467,,
-2162,1777.3982246541732,,
-2161,1777.7557221757002,,
-2160,1778.113219697227,,
-2159,1778.4707172187536,,
-2158,1778.8282147402804,,
-2157,1779.185712261807,,
-2156,1779.543209783334,,
-2155,1779.9007073048606,,
-2154,1780.2582048263876,,
-2153,1780.615702347914,,
-2152,1780.973199869441,,
-2151,1781.3306973909678,,
-2150,1781.6881949124945,,
-2149,1782.0456924340215,,
-2148,1782.403189955548,,
-2147,1782.760687477075,,
-2146,1783.1181849986015,,
-2145,1783.4756825201284,,
-2144,1783.8331800416552,,
-2143,1784.190677563182,,
-2142,1784.5481750847086,,
-2141,1784.9056726062354,,
-2140,1785.2631701277624,,
-2139,1785.6206676492889,,
-2138,1785.9781651708158,,
-2137,1786.3356626923426,,
-2136,1786.6931602138693,,
-2135,1787.050657735396,,
-2134,1787.4081552569228,,
-2133,1787.7656527784497,,
-2132,1788.1231502999763,,
-2131,1788.4806478215032,,
-2130,1788.83814534303,,
-2129,1789.1956428645567,,
-2128,1789.5531403860834,,
-2127,1789.9106379076102,,
-2126,1790.2681354291371,,
-2125,1790.6256329506637,,
-2124,1790.9831304721906,,
-2123,1791.3406279937174,,
-2122,1791.698125515244,,
-2121,1792.0556230367708,,
-2120,1792.4131205582976,,
-2119,1792.7706180798245,,
-2118,1793.128115601351,,
-2117,1793.485613122878,,
-2116,1793.8431106444048,,
-2115,1794.2006081659315,,
-2114,1794.5581056874582,,
-2113,1794.915603208985,,
-2112,1795.273100730512,,
-2111,1795.6305982520385,,
-2110,1795.9880957735654,,
-2109,1796.345593295092,,
-2108,1796.703090816619,,
-2107,1797.0605883381456,,
-2106,1797.4180858596724,,
-2105,1797.7755833811993,,
-2104,1798.1330809027259,,
-2103,1798.4905784242528,,
-2102,1798.8480759457793,,
-2101,1799.2055734673063,,
-2100,1799.563070988833,,
-2099,1799.9205685103598,,
-2098,1800.2780660318865,,
-2097,1800.6355635534132,,
-2096,1800.9930610749402,,
-2095,1801.3505585964667,,
-2094,1801.7080561179937,,
-2093,1802.0655536395204,,
-2092,1802.4230511610472,,
-2091,1802.780548682574,,
-2090,1803.1380462041006,,
-2089,1803.4955437256276,,
-2088,1803.8530412471541,,
-2087,1804.210538768681,,
-2086,1804.5680362902078,,
-2085,1804.9255338117346,,
-2084,1805.2830313332613,,
-2083,1805.640528854788,,
-2082,1805.998026376315,,
-2081,1806.3555238978415,,
-2080,1806.7130214193685,,
-2079,1807.0705189408952,,
-2078,1807.428016462422,,
-2077,1807.7855139839487,,
-2076,1808.1430115054754,,
-2075,1808.5005090270024,,
-2074,1808.858006548529,,
-2073,1809.2155040700559,,
-2072,1809.5730015915824,,
-2071,1809.9304991131094,,
-2070,1810.287996634636,,
-2069,1810.6454941561628,,
-2068,1811.0029916776898,,
-2067,1811.3604891992163,,
-2066,1811.7179867207433,,
-2065,1812.0754842422698,,
-2064,1812.4329817637968,,
-2063,1812.7904792853235,,
-2062,1813.1479768068502,,
